raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
T1YFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,0.74855341,0.7771299099,244,0,0,0,0,0,0,0,0,False,pass,,,98,106,107
T5YFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,1.317305632,1.354948523,349,0,0,0,0,0,0,0,0,False,pass,,,98,106,109
TB3MS,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.4060060342,0.4263138454,276,0,0,0,0,0,0,0,0,False,pass,,,43,89,97
TB3SMFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,0.6865112457,0.7113283353,214,0,0,0,0,0,0,0,0,False,pass,,,98,106,105
TB6MS,ordinary_stable,2,2,198,0,0,611,709.5,0.9983660131,0.9985925398,0.3831383439,0.4015767469,273,0,0,0,0,0,0,0,0,False,pass,,,43,89,95
TB6SMFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,0.7410156252,0.7704133684,234,0,0,0,0,0,0,0,0,False,pass,,,98,106,106
TOTRESNS,ordinary_stable,6,6,198,0,0,610,708.5,0.9958333333,0.9971811121,0.06203682593,0.06346289528,610,0,0,0,0,0,0,0,0,False,pass,,,17,27,74
UEMP15OV,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.05213610531,0.05408938604,607,0,0,0,0,0,0,0,0,False,pass,,,43,54,71
UEMP15T26,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.0767228663,0.07774911457,606,0,0,0,0,0,0,0,0,False,pass,,,43,54,76
UEMP27OV,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.06980903412,0.07225966326,607,0,0,0,0,0,0,0,0,False,pass,,,43,54,75
UEMP5TO14,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.05470563252,0.05585290493,610,0,0,0,0,0,0,0,0,False,pass,,,43,54,73
UEMPLT5,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985744825,0.05333298846,0.0552858074,609,0,0,0,0,0,0,0,0,False,pass,,,43,54,72
UEMPMEAN,ordinary_stable,2,2,198,0,0,611,709.5,0.99626401,0.9985744825,0.513694378,0.5929415413,75,0,0,0,0,0,0,0,0,False,pass,,,43,54,101
UNRATE,ordinary_stable,2,2,198,0,0,611,709.5,0.99626401,0.9985744825,0.1780655236,0.1831661253,36,0,0,0,0,0,0,0,0,False,pass,,,43,54,80
USCONS,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.008993131587,0.00954919677,605,0,0,0,0,0,0,0,0,False,pass,,,43,75,45
USFIRE,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.001921800531,0.002026897729,603,0,0,0,0,0,0,0,0,False,pass,,,43,75,5
USGOOD,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.004644535871,0.004921975875,609,0,0,0,0,0,0,0,0,False,pass,,,43,75,24
USGOVT,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.0027884609,0.002953818279,606,0,0,0,0,0,0,0,0,False,pass,,,43,75,13
USTPU,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.00238651274,0.002508301993,610,0,0,0,0,0,0,0,0,False,pass,,,43,75,7
USTRADE,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.002953447643,0.003061955028,611,0,0,0,0,0,0,0,0,False,pass,,,43,75,16
USWTRADE,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.00245271714,0.002564867007,610,0,0,0,0,0,0,0,0,False,pass,,,43,75,8
W875RX1,ordinary_stable,5,5,198,0,0,610,709.5,0.9958391123,0.9985601144,0.005466402441,0.005842391318,610,0,0,0,0,0,0,0,0,False,pass,,,17,31,31
